,Title,Description,Category
0,India calls for fair trade rules,india attend g7 meet seven lead industrialis nation friday unlik cow newcom status london thursday ahead meet india financ minist lash restrict trade polici g7 nation object subsidi agricultur make hard develop nation like india compet also call reform unit nation world bank imf palaniappan chidambaram india financ minist argu organis need take account chang world order given india china integr global economi issu globalis term engag globalis mr chidambaram attend g7 meet part g20 group nation account two third world popul confer develop enterpris host uk financ minist gordon brown friday favour float exchang rate help countri cope econom shock flexibl exchang rate one channel absorb posit negat shock told confer india along china brazil south africa russia invit take part g7 meet take place london friday saturday china expect face renew pressur abandon fix exchang rate g7 nation particular us blame surg cheap chines export countri tri use fix exchang rate wish make judgement mr chidambaram separ imf warn thursday india budget deficit larg would hamper countri econom growth forecast around 65 year march 2005 year march 2004 indian economi grew 85,Business
1,Sluggish economy hits German jobs,number peopl work europ largest economi risen tenth straight month growth remain stubborn slow german unemploy rose 7000 novemb 4464 million peopl 108 workforc season adjust rise show smaller rise expect govern measur encourag job creation began take effect offici stagnant growth still stifl job market clear sign reviv domest demand frankjuergen weis head feder labour agenc statement growth 01 third quarter still insuffici deliv posit momentum labour market high oil price soar euro damag competit export also negat effect brunt unemploy still felt eastern part germani rate 188 unemploy stuck 4 million year govern chancellor gerhard schroeder put job creation top agenda controversi packag measur shake incent get back work paid cut cherish benefit spark anger among german worker strike number industri notabl among countri icon carmak demonstr displeasur well fear job loss outsourc take hold among new initi socal oneeuro job top unemploy benefit scheme formal launch januari hire posit alreadi take place affect unemploy statist economist deterior labour market come surpris isabell kronawitt hypovereinsbank job creation measur probabl prevent stronger increas season adjust number,Business
2,Indonesians face fuel price rise,indonesia govern confirm consid rais fuel price much 30 million indonesian use kerosen basic cook price heavili subsidis year presid susilo bambang yudhoyono govern want curb fuel subsidi direct money aid programm poor critic argu cut subsidi hurt poorer famili govern say want help million peopl left homeless indonesia aceh region follow earthquak tsunami disast late decemb indonesia pay subsidi import order stabilis domest fuel price higher oil price forc govern spend hold price spent 592 trillion rupiah 658bn £35bn fuel subsidi 2004 sum far excess origin project 145 trillion rupiah sinc presid yudhoyono govern came power octob indic intent rais domest fuel price cut subsidi januari march quarter year best time us increas fuel price sri mulyani indrawati state minist nation develop plan still consid 30 hike suitabl moment sooner better state budget bbcs correspond jakarta rachel harvey told world busi report like strong public reaction price rise big question whether go one big short sharp shock rais price 20 30 whether tri stagger indonesia previous govern led presid megawati sukarnoputri also attempt cut subsidi 2003 forc back face public protest,Business
3,Court rejects $280bn tobacco case,us govern claim accus countri biggest tobacco compani cover effect smoke thrown appeal court demand 280bn £155bn file clinton administr 1999 reject 21 decis court washington found case could brought feder antiracket law among accus altria group rj reynold tobacco lorillard tobacco liggett group brown williamson case govern claim tobacco firm manipul nicotin level increas addict target teenag multibillion dollar advertis campaign lie danger smoke ignor research contrari prosecutor want cigarett firm surrend 280bn profit accumul past 50 year impos tougher rule market product court appeal district columbia rule us govern could sue firm legisl drawn counteract mafia infiltr busi tobacco compani deni illeg conspir promot smoke defraud public also say alreadi met mani govern demand landmark 206bn settlement reach 46 state 1998 share tobacco compani close higher rule altria rise 5 reynold show gain 45,Business
4,Dollar gains on Greenspan speech,dollar hit highest level euro almost three month feder reserv head us trade deficit set stabilis alan greenspan highlight us govern willing curb spend rise household save factor may help reduc late trade new york dollar reach 12871 euro 12974 thursday market concern deficit hit greenback recent month friday feder reserv chairman mr greenspan speech london ahead meet g7 financ minist sent dollar higher earlier tumbl back worsethanexpect us job data think chairman take much sanguin view current account deficit hes taken time robert sinch head currenc strategi bank america new york hes take longerterm view lay set condit current account deficit improv year next worri deficit concern china howev remain china currenc remain peg dollar us currenc sharp fall recent month therefor made chines export price high competit call shift beij polici fallen deaf ear despit recent comment major chines newspap time ripe loosen peg g7 meet thought unlik produc meaning movement chines polici meantim us feder reserv decis 2 februari boost interest rate quarter point sixth move mani month open differenti european rate halfpoint window believ could enough keep us asset look attract could help prop dollar recent fall part result big budget deficit well uss yawn current account gap need fund buy us bond asset foreign firm govern white hous announc budget monday mani comment believ deficit remain close half trillion dollar,Business
5,Mixed signals from French economy,french economi pick speed end 2004 offici figur show still look set fallen short govern hope accord state statist bodi inse growth three month decemb seasonallyadjust 0708 ahead 06 forecast confirm would best quarter show sinc earli 2002 leav gdp 23 full year short 25 french govern predict despit appar shortfal annual econom growth good quarter figur socal flash estim mark continu trend improv indic health french economi govern reiter 25 target 2005 european central bank make posit nois 12nation eurozon whole also friday franc industri output decemb releas show 07 growth number good david naud economist deutsch bank send posit signal rebound output open way continu trend new year servic sector activ improv januari hit sevenmonth high unemploy remain high 10,Business
6,Ask Jeeves tips online ad revival,ask jeev becom third lead onlin search firm week thank reviv internet advertis improv fortun firm revenu near tripl fourth quarter 2004 exceed 86m £46m ask jeev among bestknown name web relat modest player 17m profit quarter dwarf 204m announc rival googl earlier week quarter yahoo earn 187m tip resurg onlin advertis trend taken hold relat quick late last year market compani doubleclick one lead provid onlin advertis warn busi would put sale thursday announc sharp turnaround brought unexpect increas profit neither ask jeev doubleclick thrill investor profit news howev case share fell 4 analyst attribut fall excess expect quarter fuell dramat outperform googl tuesday,Business
7,Rank 'set to sell off film unit',leisur group rank could unveil plan demerg film servic unit sell media busi report claim rank former famous carri seri expos shakeup announc result friday sunday telegraph report advisor goldman sach understood valu demerg delux film unit £300m report ad specul possibl shakeup mount sinc rank announc studi possibl demerg septemb sinc mike smith appoint chief execut 1999 group focus fewer busi embark major costcut programm seen dispos number busi includ odeon cinema chain pinewood studio move left group three core divis game hard rock delux film provid technic servic hollywood studio rank aim concentr game bar hotel busi includ extend hard rock brand casino trial success also own delux media make distribut dvds video howev busi seen less success last year made profit £215m turnov £3921m expert suggest success move dvds vhs video could make attract target privat equiti buyer spokesman firm refus comment report result demerg studi like set unveil result friday analyst predict firm like report slight drop annual pretax profit £170m £194m last year form 1940s firm lead uk film produc cinema owner mani year diversifi rang leisur activ main uk includ hotel roadsid servic area holiday centr own 34 grosvenor casino mecca bingo chain 100 hard rock cafe 38 countri,Business
8,US trade gap hits record in 2004,gap us export import hit alltim high 6717bn £484bn 2004 latest figur show commerc depart trade deficit last year 244 previous record 2003s imbal 4965bn deficit china 305 162bn largest ever record singl countri howev month basi us trade gap narrow 49 decemb £564bn us consum appetit thing oil import car even wine chees reach record level last year figur like spark fresh critic presid bush econom polici democrat claim administr done enough clamp unfair foreign trade practic exampl believ china currenc polici us manufactur claim undervalu yuan much 40 given china rapid expand economi unfair advantag us competitor meanwhil bush administr argu us deficit reflect fact america grow faster rate rest world spur demand import good economist say may allow upward revis us econom growth fourth quarter other point deficit reach astronom proport foreign mani choos hold mani dollardenomin asset may turn harm growth 2004 us export rose 123 115 trillion import rose even faster 163 new record 176 trillion foreign oil export surg 357 record 1807bn reflect ralli global oil price increas domest demand import affect dollar weak last year expect deficit continu widen 2005 even dollar get back downward trend economist mariepierr ripert ixi,Business
9,India widens access to telecoms,india rais limit foreign direct invest telecom compani 49 74 communic minist dayanidhi maran need fund fastgrow mobil market govern hope increas number mobil user 95 million 200 250 million 2007 need least 20bn £106bn invest part come foreign direct invest mr maran decis rais limit foreign investor face consider opposit communist parti give crucial support coalit head prime minist manmohan singh potenti foreign investor howev need govern approv increas stake beyond 49 mr maran key posit chief execut chief technolog offic chief financi offic held indian ad analyst investor welcom govern decis posit develop carrier invest communiti look take longerterm view huge growth indian telecom market gartner princip analyst kobita desai fdi relax coupl rapid local market growth could realli ignit interest indian telecommun industri ad ernst young sanjay mehta invest bank morgan stanley forecast india mobil market like grow 40 year 2007 indian mobil market current domin four compani bharti televentur alli singapor telecom essar link hong kongbas hutchison whampoa sterl group tata group,Business
